id,name,age,birth_date,height_cm,weight_kgs,overall_rating,potential,nationality,value_euro,wage_euro,position
100,C. Kramer,33,1991-02-19,190.5,76.2,81,82,Germany,17000000.0,35000.0,CDM
101,B. Mendy,30,1994-07-17,185.42,84.8,81,86,France,20000000.0,105000.0,LB
102,M. Sabitzer,30,1994-03-17,152.4,77.1,81,84,Austria,22500000.0,54000.0,CAM
103,M. Nastasić,31,1993-03-28,187.96,83.0,81,84,Serbia,18500000.0,36000.0,CB
104,A. Plea,31,1993-03-10,154.94,78.9,81,83,France,22000000.0,40000.0,ST
105,M. Ginter,30,1994-01-19,187.96,83.0,81,83,Germany,18500000.0,30000.0,CB
106,Gerard Moreno,32,1992-04-07,154.94,77.1,81,83,Spain,22000000.0,45000.0,ST
107,A. Doucouré,31,1993-01-01,182.88,76.2,81,85,France,19500000.0,60000.0,CDM
108,R. Guerreiro,31,1993-12-22,170.18,71.2,81,84,Portugal,22500000.0,54000.0,LM
109,Ricardo Pereira,31,1993-10-06,175.26,69.9,81,84,Portugal,18500000.0,64000.0,RB
110,Samu Castillejo,29,1995-01-18,182.88,67.1,81,85,Spain,23000000.0,86000.0,RM
111,J. Brandt,28,1996-05-02,185.42,83.9,81,88,Germany,25000000.0,63000.0,LM
112,N. Pépé,29,1995-05-29,182.88,73.0,80,88,Ivory Coast,22000000.0,35000.0,RM
113,S. Bergwijn,27,1997-10-08,152.4,78.0,80,86,Netherlands,20500000.0,18000.0,LW
114,A. Onana,28,1996-04-02,187.96,93.0,80,85,Cameroon,14500000.0,14000.0,GK
115,F. Balbuena,33,1991-08-23,187.96,84.8,80,83,Paraguay,15500000.0,80000.0,CB
116,André Silva,29,1995-11-06,185.42,78.9,80,87,Portugal,21000000.0,89000.0,ST
117,Oyarzabal,27,1997-04-21,154.94,78.0,80,87,Spain,21000000.0,29000.0,LW
118,Everton Andrão,40,1984-02-29,152.4,74.8,80,80,Brazil,4500000.0,34000.0,CDM
119,Welington Dano,36,1988-02-29,152.4,68.9,80,80,Brazil,10500000.0,34000.0,LB
120,Richarlison,27,1997-05-10,154.94,71.2,80,86,Brazil,21000000.0,84000.0,ST
121,Odriozola,29,1995-12-14,175.26,66.2,80,88,Spain,18500000.0,115000.0,RB
122,Carlos Soler,27,1997-01-02,154.94,76.2,80,87,Spain,21000000.0,31000.0,RM
123,H. Aouar,26,1998-06-30,175.26,69.9,80,90,France,23500000.0,51000.0,CM
124,T. Ndombele,28,1996-12-28,154.94,76.2,80,89,France,22500000.0,51000.0,CM
125,M. Gómez,28,1996-08-14,185.42,83.9,80,85,Uruguay,20500000.0,25000.0,ST
127,J. Mathieu,41,1983-10-29,187.96,83.9,81,81,France,5500000.0,18000.0,CB
128,J. Matip,33,1991-08-08,193.04,89.8,80,82,Cameroon,15000000.0,99000.0,CB
129,S. Aurier,32,1992-12-24,175.26,76.2,80,83,Ivory Coast,15500000.0,82000.0,RB
130,J. Guilavogui,34,1990-09-19,187.96,77.1,80,81,France,14000000.0,49000.0,CDM
131,A. Oxlade-Chamberlain,31,1993-08-15,175.26,69.9,80,85,England,19500000.0,94000.0,CM
132,M. Ryan,32,1992-04-08,182.88,82.1,80,83,Australia,13000000.0,43000.0,GK
133,V. Aboubakar,32,1992-01-22,182.88,82.1,80,81,Cameroon,17500000.0,19000.0,ST
134,L. Muriel,33,1991-04-16,152.4,78.9,80,81,Colombia,17500000.0,24000.0,ST
135,D. Vida,35,1989-04-29,182.88,76.2,80,80,Croatia,11500000.0,55000.0,CB
136,Ibai Gómez,35,1989-11-11,152.4,72.1,80,80,Spain,15000000.0,31000.0,RM
137,Cristian Tello,33,1991-08-19,152.4,64.9,80,80,Spain,16000000.0,30000.0,LM
139,A. Mandi,33,1991-10-22,182.88,78.0,80,83,Algeria,15500000.0,27000.0,CB
140,C. Tătăruşanu,38,1986-02-09,195.58,86.2,80,80,Romania,8500000.0,25000.0,GK
141,J. Murillo,32,1992-05-27,182.88,78.0,80,84,Colombia,16000000.0,38000.0,CB
142,E. Dier,30,1994-01-15,187.96,89.8,80,84,England,16500000.0,73000.0,CDM
143,J. Butland,31,1993-03-10,195.58,94.8,80,85,England,14000000.0,39000.0,GK
145,W. Rooney,39,1985-10-24,175.26,83.0,80,80,England,12000000.0,13000.0,ST
146,Moyá,40,1984-04-02,187.96,83.0,80,80,Spain,6000000.0,26000.0,GK
147,L. López,41,1983-03-02,175.26,72.1,80,80,Argentina,7000000.0,23000.0,ST
148,J. Mascherano,40,1984-06-08,175.26,73.0,80,80,Argentina,4500000.0,20000.0,CDM
149,Raffael,39,1985-03-28,175.26,68.9,80,80,Brazil,9500000.0,39000.0,CF
151,Juanfran,39,1985-01-09,154.94,71.2,80,80,Spain,5500000.0,53000.0,RB
154,A. Gignac,39,1985-12-05,187.96,91.2,80,80,France,12000000.0,70000.0,ST
157,Dante,41,1983-10-18,187.96,84.8,80,80,Brazil,4500000.0,37000.0,CB
158,L. Perrin,39,1985-08-07,154.94,79.8,80,80,France,8500000.0,37000.0,CB
159,Borja Valero,39,1985-01-12,175.26,73.0,80,80,Spain,9000000.0,69000.0,CAM
160,A. Januzaj,29,1995-02-05,185.42,76.2,79,85,Belgium,17500000.0,32000.0,RW
161,J. Hector,34,1990-05-27,185.42,74.8,79,79,Germany,10000000.0,26000.0,LB
162,M. Dabbur,32,1992-05-14,182.88,76.2,79,81,Israel,15500000.0,47000.0,ST
163,Óliver Torres,30,1994-11-10,175.26,63.0,79,84,Spain,16500000.0,15000.0,CM
164,Y. Bounou,33,1991-04-05,193.04,78.0,79,82,Morocco,10500000.0,26000.0,GK
165,J. Hofmann,32,1992-07-14,175.26,69.9,79,80,Germany,15000000.0,32000.0,CAM
166,Otávio,29,1995-02-09,172.72,71.2,79,85,Brazil,17500000.0,15000.0,RM
167,Jonny,30,1994-03-03,170.18,69.9,79,83,Spain,13500000.0,59000.0,LWB
168,L. Dendoncker,29,1995-04-15,187.96,88.0,79,85,Belgium,14500000.0,20000.0,CDM
170,Ricardo Horta,30,1994-09-15,172.72,63.0,79,84,Portugal,17000000.0,16000.0,LM
171,Thiago Mendes,32,1992-03-15,152.4,79.8,79,83,Brazil,13500000.0,35000.0,CDM
172,J. Lerma,30,1994-10-25,152.4,69.9,79,83,Colombia,14000000.0,55000.0,CDM
173,J. Gbamin,29,1995-09-25,185.42,83.0,79,84,Ivory Coast,14500000.0,26000.0,CDM
174,I. Marcone,34,1990-06-03,182.88,83.0,79,80,Argentina,11500000.0,27000.0,CDM
175,D. Benedetto,34,1990-05-17,152.4,79.8,79,79,Argentina,13000000.0,32000.0,ST
176,M. Hitz,37,1987-09-18,193.04,88.9,79,79,Switzerland,8000000.0,41000.0,GK
177,N. Clyne,33,1991-04-05,175.26,67.1,79,80,England,11500000.0,94000.0,RB
178,A. Ljajić,33,1991-09-29,182.88,73.9,79,80,Serbia,15000000.0,49000.0,CAM
179,J. Guðmundsson,34,1990-10-27,152.4,77.1,79,79,Iceland,13000000.0,61000.0,RM
180,Elkeson,35,1989-07-13,154.94,77.1,79,79,Brazil,13000000.0,25000.0,ST
181,Kike García,35,1989-11-25,185.42,78.9,79,79,Spain,13000000.0,32000.0,ST
182,Escudero,35,1989-09-02,175.26,72.1,79,79,Spain,10000000.0,20000.0,LB
183,Herrerín,36,1988-01-25,187.96,94.8,79,79,Spain,8000000.0,21000.0,GK
184,Víctor Ruiz,35,1989-01-25,185.42,78.0,79,79,Spain,10000000.0,35000.0,CB
185,G. Medel,37,1987-08-03,170.18,64.9,79,79,Chile,9500000.0,50000.0,CDM
186,Y. Belhanda,34,1990-02-25,152.4,74.8,79,79,Morocco,12500000.0,65000.0,CAM
187,Hugo Mallo,33,1991-06-22,175.26,72.1,79,79,Spain,10500000.0,26000.0,RB
188,Borja García,34,1990-11-02,175.26,72.1,79,79,Spain,13000000.0,35000.0,LM
189,W. Khazri,33,1991-02-08,175.26,82.1,79,79,Tunisia,13500000.0,41000.0,ST
190,P. Jones,32,1992-02-21,185.42,71.2,79,80,England,12000000.0,110000.0,CB
191,A. Finnbogason,35,1989-02-01,182.88,79.8,79,79,Iceland,12500000.0,35000.0,ST
192,Vinícius Júnior,24,2000-07-12,175.26,73.0,78,92,Brazil,20500000.0,70000.0,LW
193,Junior Firpo,28,1996-08-22,182.88,74.8,78,85,Spain,12500000.0,17000.0,LWB
195,Fernando Torres,40,1984-03-20,185.42,78.9,79,79,Spain,6500000.0,9000.0,ST
196,B. Schweinsteiger,40,1984-08-01,182.88,78.9,79,79,Germany,5000000.0,10000.0,CDM
197,B. Yılmaz,39,1985-07-15,187.96,77.1,79,79,Turkey,10000000.0,59000.0,ST
198,M. Gómez,39,1985-07-10,187.96,88.9,79,79,Germany,10000000.0,44000.0,ST
199,A. Young,39,1985-07-09,175.26,64.9,79,79,England,7000000.0,110000.0,RB
200,R. Babel,38,1986-12-19,185.42,84.8,79,79,Netherlands,11000000.0,70000.0,LW
201,B. Costil,37,1987-07-03,187.96,88.0,79,79,France,8000000.0,35000.0,GK
202,S. Kalou,39,1985-08-05,182.88,77.1,79,79,Ivory Coast,10000000.0,34000.0,LM
203,E. Lavezzi,39,1985-05-03,172.72,74.8,79,79,Argentina,8000000.0,22000.0,ST
204,H. Ben Arfa,37,1987-03-07,152.4,73.9,79,79,France,11000000.0,38000.0,CAM
205,B. Foster,41,1983-04-03,193.04,89.8,79,79,England,3000000.0,29000.0,GK
206,T. Heaton,38,1986-04-15,187.96,92.1,79,79,England,7000000.0,45000.0,GK
207,Charles,40,1984-04-04,152.4,74.8,79,79,Brazil,6500000.0,31000.0,ST
208,G. Cahill,39,1985-12-19,193.04,88.0,79,79,England,7000000.0,94000.0,CB
209,A. Iwobi,28,1996-05-03,185.42,74.8,78,84,Nigeria,14000000.0,81000.0,LM
210,R. Loftus-Cheek,28,1996-01-23,190.5,88.0,78,85,England,14500000.0,81000.0,CM
212,J. Mojica,32,1992-08-21,185.42,73.0,78,81,Colombia,10500000.0,28000.0,LWB
214,C. Izquierdoz,36,1988-11-03,185.42,88.9,78,78,Argentina,8000000.0,25000.0,CB
215,W. Benítez,31,1993-01-19,190.5,91.2,78,82,Argentina,9500000.0,24000.0,GK
216,N. Maksimović,33,1991-11-25,193.04,87.1,78,81,Serbia,11000000.0,54000.0,CB
217,A. Mitrović,30,1994-09-16,187.96,82.1,78,83,Serbia,14000000.0,55000.0,ST
218,M. Sportiello,32,1992-05-10,193.04,87.1,78,80,Italy,8500000.0,22000.0,GK
219,Capa,32,1992-05-14,175.26,74.8,78,81,Spain,10500000.0,23000.0,RB
220,Marcelo Goiano,37,1987-10-13,175.26,68.9,78,78,Brazil,7500000.0,15000.0,RB
221,Y. Tielemans,27,1997-05-07,175.26,72.1,78,87,Belgium,16000000.0,47000.0,CM
222,S. Lobotka,30,1994-11-25,170.18,64.0,78,84,Slovakia,14000000.0,22000.0,CM
223,M. Philipp,30,1994-03-01,182.88,78.9,78,83,Germany,14000000.0,48000.0,ST
224,L. Dubois,30,1994-09-14,152.4,73.0,78,82,France,11000000.0,47000.0,RB
225,L. Dunk,33,1991-11-21,193.04,88.0,78,81,England,11000000.0,46000.0,CB
226,C. Schindler,34,1990-04-29,187.96,77.1,78,80,Germany,10000000.0,48000.0,CB
227,Y. Konoplyanka,35,1989-09-29,152.4,78.0,78,78,Ukraine,10500000.0,35000.0,LM
228,Pedro Mendes,34,1990-10-01,185.42,78.0,78,80,Portugal,10000000.0,26000.0,CB
229,R. Saponara,33,1991-12-21,182.88,73.0,78,78,Italy,11000000.0,56000.0,CAM
230,L. Kurzawa,32,1992-09-04,182.88,76.2,78,81,France,10500000.0,61000.0,LB
231,M. Hinteregger,32,1992-09-07,182.88,83.0,78,80,Austria,10500000.0,24000.0,CB
232,D. da Costa,31,1993-07-13,187.96,88.0,78,80,Germany,10500000.0,29000.0,RWB
234,W. Boly,33,1991-02-03,195.58,97.1,78,80,France,10000000.0,62000.0,CB
235,A. Schwolow,32,1992-06-02,187.96,83.9,78,79,Germany,8500000.0,20000.0,GK
236,G. Defrel,33,1991-06-17,152.4,77.1,78,78,France,11000000.0,64000.0,ST
237,Álvaro,34,1990-01-08,182.88,74.8,78,79,Spain,9500000.0,32000.0,CB
238,L. Bittencourt,31,1993-12-19,170.18,62.1,78,81,Germany,13000000.0,32000.0,CAM
239,A. Carrillo,33,1991-06-14,154.94,78.0,78,78,Peru,11000000.0,14000.0,RM
240,M. Elyounoussi,30,1994-08-04,152.4,69.9,78,83,Norway,14000000.0,44000.0,LM
241,O. Karnezis,39,1985-07-11,190.5,81.2,78,78,Greece,6000000.0,44000.0,GK
242,De Marcos,35,1989-04-14,182.88,79.8,78,78,Spain,8000000.0,25000.0,RB
243,R. Cabella,34,1990-03-08,170.18,71.2,78,78,France,10500000.0,36000.0,CAM
244,J. Hart,37,1987-04-19,195.58,91.2,78,78,England,6500000.0,41000.0,GK
245,Jurado,38,1986-06-29,175.26,72.1,78,78,Spain,8000000.0,41000.0,RM
246,E. Hernández,36,1988-04-29,170.18,64.9,78,78,Mexico,10000000.0,29000.0,RM
247,D. Ginczek,33,1991-04-13,190.5,84.8,78,79,Germany,12000000.0,50000.0,ST
248,Lucas Pérez,36,1988-09-10,154.94,73.0,78,78,Spain,10500000.0,85000.0,ST
250,A. Begović,37,1987-06-20,198.12,83.0,78,78,Bosnia Herzegovina,6500000.0,47000.0,GK
252,J. Baumgartlinger,36,1988-01-02,182.88,86.2,78,78,Austria,7500000.0,53000.0,CDM
253,Granero,37,1987-07-02,154.94,78.0,78,78,Spain,9500000.0,30000.0,CM
254,Z. Junuzović,37,1987-09-26,172.72,72.1,78,78,Austria,9500000.0,39000.0,CM
255,V. Moses,34,1990-12-12,152.4,77.1,78,78,Nigeria,11000000.0,105000.0,RW
256,M. Debuchy,39,1985-07-28,175.26,76.2,78,78,France,5500000.0,31000.0,RB
257,G. Maripán,30,1994-05-06,193.04,83.0,77,81,Chile,10000000.0,20000.0,CB
258,Iván Cuéllar,40,1984-05-27,187.96,76.2,77,77,Spain,3600000.0,22000.0,GK
259,F. Johnson,37,1987-12-11,182.88,73.9,77,77,United States,8500000.0,29000.0,LM
260,Aarón Martín,27,1997-04-22,154.94,72.1,77,84,Spain,10500000.0,19000.0,LB
261,G. Pereiro,29,1995-06-11,187.96,76.2,77,82,Uruguay,12000000.0,15000.0,CAM
262,B. Moukandjo,36,1988-11-12,154.94,73.9,77,77,Cameroon,9000000.0,25000.0,ST
263,M. Harnik,37,1987-06-10,185.42,79.8,77,77,Austria,8000000.0,31000.0,ST
264,J. Ward-Prowse,30,1994-11-01,172.72,66.2,77,82,England,12000000.0,41000.0,RM
265,R. Alessandrini,35,1989-04-03,172.72,69.9,78,78,France,10000000.0,11000.0,RM
266,Manu García,38,1986-04-26,182.88,73.9,78,78,Spain,6000000.0,24000.0,CDM
267,M. Antonio,34,1990-03-28,152.4,82.1,78,78,England,10500000.0,85000.0,ST
268,Adrien Silva,35,1989-03-15,175.26,68.9,78,78,Portugal,10000000.0,68000.0,CM
269,S. Cook,33,1991-04-19,185.42,82.1,78,78,England,8500000.0,58000.0,CB
270,B. Mee,35,1989-09-23,182.88,82.1,78,78,England,8500000.0,53000.0,CB
271,Adriano,40,1984-10-26,172.72,74.8,78,78,Brazil,4000000.0,45000.0,LB
272,J. Lens,37,1987-11-24,152.4,74.8,78,78,Netherlands,10000000.0,50000.0,RM
273,S. Rondón,35,1989-09-16,185.42,98.0,77,77,Venezuela,9000000.0,41000.0,ST
274,Andreas Pereira,28,1996-01-01,152.4,71.2,77,82,Brazil,11500000.0,86000.0,CM
275,V. Ibišević,40,1984-08-06,187.96,82.1,77,77,Bosnia Herzegovina,5500000.0,31000.0,ST
276,L. Ocampos,30,1994-07-11,187.96,83.9,77,82,Argentina,12000000.0,38000.0,LM
277,N. Müller,37,1987-09-25,172.72,66.2,77,77,Germany,8500000.0,34000.0,RM
278,Simão Acunha,36,1988-02-29,152.4,71.2,77,77,Brazil,8500000.0,35000.0,CAM
279,J. Calleri,31,1993-09-23,154.94,77.1,77,82,Argentina,12000000.0,24000.0,ST
280,A. Jahanbakhsh,31,1993-08-11,154.94,78.0,77,80,Iran,11500000.0,41000.0,RM
281,A. Prijović,34,1990-04-21,190.5,88.0,77,77,Serbia,9000000.0,44000.0,ST
282,Fabricio,37,1987-12-17,182.88,79.8,77,77,Spain,5500000.0,40000.0,GK
283,M. Elneny,32,1992-07-11,154.94,73.9,77,79,Egypt,9000000.0,76000.0,CDM
284,Jorge Meré,27,1997-04-17,182.88,79.8,77,85,Spain,11500000.0,15000.0,CB
285,Wilson Eduardo,34,1990-07-08,152.4,73.0,77,77,Portugal,9500000.0,17000.0,ST
286,Álex Remiro,29,1995-03-24,190.5,83.0,77,82,Spain,8500000.0,15000.0,GK
287,T. Gutiérrez,39,1985-05-17,152.4,81.2,77,77,Colombia,5500000.0,6000.0,ST
289,Diego Llorente,31,1993-08-16,185.42,74.8,77,83,Spain,10500000.0,22000.0,CB
290,I. Abate,38,1986-11-12,154.94,73.0,77,77,Italy,6000000.0,68000.0,RB
291,T. Vermaelen,39,1985-11-14,182.88,79.8,77,77,Belgium,5000000.0,110000.0,CB
292,N. Füllkrug,31,1993-02-09,187.96,83.0,77,78,Germany,10500000.0,36000.0,ST
293,Pedro Obiang,32,1992-03-27,185.42,74.8,77,79,Equatorial Guinea,9000000.0,65000.0,CDM
294,Wallace,30,1994-10-14,190.5,84.8,77,81,Brazil,10000000.0,35000.0,CB
295,Djaniny,33,1991-03-21,190.5,78.0,77,78,Cape Verde,10500000.0,42000.0,ST
296,Roberto,38,1986-02-10,193.04,93.9,77,77,Spain,5000000.0,21000.0,GK
297,S. Tasci,37,1987-04-24,185.42,81.2,77,77,Germany,6000000.0,24000.0,CB
298,L. Schøne,38,1986-05-27,152.4,78.0,77,77,Denmark,6500000.0,19000.0,CM
300,V. Babacan,36,1988-08-11,193.04,86.2,77,78,Turkey,7000000.0,21000.0,GK
301,O. Ighalo,35,1989-06-16,182.88,74.8,77,77,Nigeria,9000000.0,20000.0,ST
302,A. Schürrle,34,1990-11-06,182.88,71.2,77,77,Germany,9500000.0,51000.0,RW
303,E. Skhiri,29,1995-05-10,185.42,68.9,77,81,Tunisia,10000000.0,21000.0,CDM
